"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"1","5YJSA1DPXC","Thurston","Olympia","WA",98502,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,22,188634442,"POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC",53067010600
"2","WBAJA9C51J","Thurston","Lacey","WA",98516,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,52650,22,194339561,"POINT (-122.75103 47.08149)","PUGET SOUND ENERGY INC",53067012226
"3","5YJSA1CP0C","King","Sammamish","WA",98074,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,45,264362836,"POINT (-122.0430602 47.6259676)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032217
"4","KNDJX3AE5G","King","Kirkland","WA",98034,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,45,211688172,"POINT (-122.2026532 47.7210518)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021906
"5","WBA8E1C52J","King","Seattle","WA",98101,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,43,226065059,"POINT (-122.3340795 47.6099315)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033008401
"6","5YJSA1DP1D","King","Burien","WA",98166,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,34,266812843,"POINT (-122.3472273 47.4568458)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033027902
"7","YV4BR0PL7J","King","Seattle","WA",98117,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,43,148820465,"POINT (-122.377938 47.690166)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033003400
"8","YV4BR0PLXJ","Island","Camano Island","WA",98282,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,10,298759583,"POINT (-122.4842001 48.2013985)","BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY",53029971600
"9","5YJSA1DN8D","King","Bellevue","WA",98004,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,225083967,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024001
"10","WBA8E1C58J","Clark","Vancouver","WA",98685,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,18,152121308,"POINT (-122.688741 45.711311)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040910
"11","5YJSA1CN7D","King","Bellevue","WA",98004,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,133413689,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024001
"12","5YJSA1DP5D","King","Burien","WA",98146,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,34,246139834,"POINT (-122.3551826 47.5000521)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033026802
"13","WP1AE2AY4L","King","Bellevue","WA",98004,2020,"PORSCHE","CAYENNE","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,81100,41,107755245,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023902
"14","5YJSA1DP6D","King","Auburn","WA",98092,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,47,122298914,"POINT (-122.1550193 47.2884536)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029602
"15","KNDJX3AE9G","King","Seattle","WA",98119,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,36,110942296,"POINT (-122.3684 47.64586)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006900
